sess;hiactype;parts;
"1424664435";"'PaC'";"[('s', 671363.53689729888, 2),('e', 671363.5691509766, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671366.40084862569, 13),('e', 671366.55282891623, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671366.91279220686, 14),('e', 671367.416834982, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671369.20882290183, 19),('e', 671369.26483758551, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671369.59281191288, 20),('e', 671369.76880937093, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671370.65677316114, 25),('e', 671370.81678939471, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671371.14477826213, 26),('e', 671371.35295242106, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671374.02474630822, 30),('e', 671374.5606360673, 'ld'),]";
"1424664435";"'PaC'";"[('s', 671374.81674363627, 32),('e', 671375.00073940423, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674673.26785336272, 38),('e', 674673.33985867933, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674674.3478415939, 39),('e', 674674.60395343939, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674678.77977000212, 46),('e', 674678.90793754114, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674680.61154163431, 49),('e', 674680.93959935324, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674689.17944986443, 58),('e', 674689.35554183275, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674699.81144549896, 77),('e', 674700.0353622546, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674713.77929531224, 81),('e', 674713.9232204156, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674717.23518957011, 86),('e', 674718.08338204958, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674760.37866735319, 120),('e', 674760.51467582746, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674769.06643305649, 132),('e', 674769.22646938951, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674769.7464480584, 133),('e', 674770.0184752706, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674784.21034832404, 147),('e', 674784.26652551419, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674798.05016487988, 158),('e', 674798.08218463382, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674810.56198016647, 184),('e', 674810.84214895079, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674822.51094031776, 193),('e', 674823.30582641147, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674830.95371175383, 199),('e', 674831.07370778522, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674833.26557356864, 203),('e', 674833.3456297958, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674835.36164138338, 206),('e', 674835.59365908464, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674836.98556258657, 209),('e', 674837.14563184849, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674838.28158857732, 211),('e', 674838.61759970302, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674839.41759063688, 216),('e', 674839.65757799556, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674841.67356392427, 218),('e', 674841.75356797839, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674861.97727732453, 223),('e', 674862.16928765306, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674929.4003683764, 230),('e', 674929.56827215897, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674931.68833490356, 233),('e', 674931.84033358295, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674942.65610816772, 238),('e', 674943.04022974987, 'ld'),]";
"1424664435";"'PaC'";"[('s', 674945.48028989439, 243),('e', 674945.53598042054, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675058.37446271314, 265),('e', 675058.93460912281, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675062.68648660672, 269),('e', 675062.77451206371, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675073.40626479394, 280),('e', 675073.5263450722, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675100.20605088421, 319),('e', 675100.26205787028, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675118.11778637161, 329),('e', 675118.20581867103, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675123.39773791051, 337),('e', 675123.48574027454, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675124.20572073956, 338),('e', 675124.4378047263, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675596.99128623412, 341),('e', 675597.25529332622, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675721.13357857545, 346),('e', 675721.22150310746, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675722.45347633329, 351),('e', 675722.56558096688, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675725.26153314556, 354),('e', 675725.31754483574, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675729.10142625053, 360),('e', 675729.14140539838, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675730.63733739196, 366),('e', 675730.98947257688, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675735.73330128822, 371),('e', 675735.92543093069, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675741.57320166321, 394),('e', 675741.86937177146, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675748.30910134374, 400),('e', 675748.38111264736, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675757.4451367599, 431),('e', 675757.69310361193, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675912.03487858421, 460),('e', 675912.15499991656, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675961.76214104786, 495),('e', 675961.79428268166, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675962.5543043036, 497),('e', 675962.82632167975, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675972.72217088065, 499),('e', 675973.11417530768, 'ld'),]";
"1424664435";"'PaC'";"[('s', 675995.73785873828, 508),('e', 675995.88182617887, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676007.12168139417, 527),('e', 676007.57771036134, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676081.11270890094, 538),('e', 676081.2567028557, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676190.45516597247, 562),('e', 676190.7672035509, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676191.71106527664, 565),('e', 676191.85507633735, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676216.32685388834, 575),('e', 676216.38286344032, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676277.16603367566, 587),('e', 676277.24603559147, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676312.16538065637, 602),('e', 676312.3655603542, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676317.34137255501, 616),('e', 676317.60540787189, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676642.61705872766, 645),('e', 676642.91303639417, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676657.83269920188, 663),('e', 676658.67282067111, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676661.6488013654, 667),('e', 676661.88880411943, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676692.02422799822, 677),('e', 676692.19239563984, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676693.47234204691, 679),('e', 676693.736374798, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676695.23219731357, 681),('e', 676695.67234170483, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676696.46432107163, 684),('e', 676696.73631877603, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676742.56754216296, 695),('e', 676742.99165144598, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676745.15996926324, 698),('e', 676745.26362178079, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676753.07143782696, 703),('e', 676753.27953287098, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676767.21518930502, 717),('e', 676767.29523697926, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676769.28718863451, 721),('e', 676769.40720391006, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676778.94298290822, 732),('e', 676779.02323029423, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676839.01424411626, 765),('e', 676839.31838516507, 'ld'),]";
"1424664435";"'PaC'";"[('s', 676897.34960008448, 769),('e', 676897.46159737837, 'ld'),]";
"1424664435";"'PaC'";"[('s', 677294.76818201062, 772),('e', 677294.8561967765, 'ld'),]";
"1424664435";"'PaC'";"[('s', 677298.37614037818, 781),('e', 677298.63212820562, 'ld'),]";
"1424664435";"'PaC'";"[('s', 677305.48003373295, 784),('e', 677305.78403665114, 'ld'),]";
